Date and Time Run 1,Time (s) Run 1,Position (mm) Run 1,Light Intensity (%) Run 1,Log of Light Intensity Run 1
4/13/2025 21:16,0,0,8.9,2.9
4/13/2025 21:16,0.05,0,8.9,2.9
4/13/2025 21:16,0.1,0,8.9,2.9
4/13/2025 21:16,0.15,0,8.9,2.9
4/13/2025 21:16,0.2,0,8.9,2.9
4/13/2025 21:16,0.25,0,8.9,2.9
4/13/2025 21:16,0.3,0,8.9,2.9
4/13/2025 21:16,0.35,0,8.9,2.9
4/13/2025 21:16,0.4,0,8.9,2.9
4/13/2025 21:16,0.45,0,8.9,2.9
4/13/2025 21:16,0.5,0,8.9,2.9
4/13/2025 21:16,0.55,0,8.9,2.9
4/13/2025 21:16,0.6,0,8.9,2.9
4/13/2025 21:16,0.65,0,8.9,2.9
4/13/2025 21:16,0.7,0,8.9,2.9
4/13/2025 21:16,0.75,0,8.9,2.9
4/13/2025 21:16,0.8,0,8.9,2.9
4/13/2025 21:16,0.85,0,8.9,2.9
4/13/2025 21:16,0.9,0,8.9,2.9
4/13/2025 21:16,0.95,0,8.9,2.9
4/13/2025 21:16,1,0,8.9,2.9
4/13/2025 21:16,1.05,0,8.9,2.9
4/13/2025 21:16,1.1,0,8.9,2.9
4/13/2025 21:16,1.15,0,8.9,2.9
4/13/2025 21:16,1.2,0,8.9,2.9
4/13/2025 21:16,1.25,0,8.9,2.9
4/13/2025 21:16,1.3,0,8.9,2.9
4/13/2025 21:16,1.35,0,8.9,2.9
4/13/2025 21:16,1.4,0,8.9,2.9
4/13/2025 21:16,1.45,0,8.9,2.9
4/13/2025 21:16,1.5,0,8.9,2.9
4/13/2025 21:16,1.55,0,8.9,2.9
4/13/2025 21:16,1.6,0,8.9,2.9
4/13/2025 21:16,1.65,0,8.9,2.9
4/13/2025 21:16,1.7,0,8.9,2.9
4/13/2025 21:16,1.75,0,8.9,2.9
4/13/2025 21:16,1.8,0,8.9,2.9
4/13/2025 21:16,1.85,0,8.9,2.9
4/13/2025 21:16,1.9,0,8.9,2.9
4/13/2025 21:16,1.95,0,8.9,2.9
4/13/2025 21:16,2,0,8.9,2.9
4/13/2025 21:16,2.05,0,8.9,2.9
4/13/2025 21:16,2.1,0,8.9,2.9
