"Date and Time Run 1","Time (s) Run 1","Position (mm) Run 1","Light Intensity (%) Run 1","Log of Light Intensity Run 1"
04/14/2025 07:41:13 am,0.000,0.005000,71.9,3.9
04/14/2025 07:41:13 am,0.050,0.005000,71.8,3.9
04/14/2025 07:41:13 am,0.100,0.005000,71.4,3.9
04/14/2025 07:41:13 am,0.150,0.005000,71.8,3.9
04/14/2025 07:41:13 am,0.200,0.005000,71.4,3.9
04/14/2025 07:41:13 am,0.250,0.005000,71.3,3.9
04/14/2025 07:41:13 am,0.300,0.005000,70.9,3.9
04/14/2025 07:41:13 am,0.350,0.005000,71.0,3.9
04/14/2025 07:41:13 am,0.400,0.005000,71.1,3.9
04/14/2025 07:41:13 am,0.450,0.005000,71.4,3.9
04/14/2025 07:41:13 am,0.500,0.005000,71.0,3.9
04/14/2025 07:41:13 am,0.550,0.005000,70.9,3.9
04/14/2025 07:41:13 am,0.600,0.005000,70.8,3.8
04/14/2025 07:41:13 am,0.650,0.005000,70.6,3.8
04/14/2025 07:41:13 am,0.700,0.005000,70.4,3.8
04/14/2025 07:41:13 am,0.750,0.005000,70.0,3.8
04/14/2025 07:41:13 am,0.800,0.005000,70.5,3.8
04/14/2025 07:41:13 am,0.850,0.005000,70.1,3.8
04/14/2025 07:41:13 am,0.900,0.005000,70.2,3.8
04/14/2025 07:41:13 am,0.950,0.005000,70.5,3.8
04/14/2025 07:41:14 am,1.000,0.005000,70.5,3.8
04/14/2025 07:41:14 am,1.050,0.005000,70.8,3.8
04/14/2025 07:41:14 am,1.100,0.005000,70.5,3.8
04/14/2025 07:41:14 am,1.150,0.005000,70.1,3.8
04/14/2025 07:41:14 am,1.200,0.005000,70.1,3.8
04/14/2025 07:41:14 am,1.250,0.005000,70.1,3.8
04/14/2025 07:41:14 am,1.300,0.005000,69.9,3.8
04/14/2025 07:41:14 am,1.350,0.005000,70.4,3.8
04/14/2025 07:41:14 am,1.400,0.005000,69.9,3.8
