Date and Time Run 1,Time (s) Run 1,Position (mm) Run 1,Light Intensity (%) Run 1,Log of Light Intensity Run 1
4/14/2025 7:15,0,0,27.3,3.4
4/14/2025 7:15,0.05,0,27.3,3.4
4/14/2025 7:15,0.1,0,27.3,3.4
4/14/2025 7:15,0.15,0,27.3,3.4
4/14/2025 7:15,0.2,0,27.3,3.4
4/14/2025 7:15,0.25,0,27.3,3.4
4/14/2025 7:15,0.3,0,27.3,3.4
4/14/2025 7:15,0.35,0,27.3,3.4
4/14/2025 7:15,0.4,0,27.3,3.4
4/14/2025 7:15,0.45,0,27.3,3.4
4/14/2025 7:15,0.5,0,27.3,3.4
4/14/2025 7:15,0.55,0,27.3,3.4
4/14/2025 7:15,0.6,0,27.2,3.4
4/14/2025 7:15,0.65,0,27.3,3.4
4/14/2025 7:15,0.7,0,27.3,3.4
4/14/2025 7:15,0.75,0,27.3,3.4
4/14/2025 7:15,0.8,0,27.3,3.4
4/14/2025 7:15,0.85,0,27.3,3.4
4/14/2025 7:15,0.9,0,27.3,3.4
4/14/2025 7:15,0.95,0,27.3,3.4
4/14/2025 7:15,1,0,27.3,3.4
4/14/2025 7:15,1.05,0,27.3,3.4
4/14/2025 7:15,1.1,0,27.3,3.4
4/14/2025 7:15,1.15,0,27.3,3.4
4/14/2025 7:15,1.2,0,27.3,3.4
4/14/2025 7:15,1.25,0,27.3,3.4
4/14/2025 7:15,1.3,0,27.3,3.4
4/14/2025 7:15,1.35,0,27.2,3.4
4/14/2025 7:15,1.4,0,27.2,3.4
4/14/2025 7:15,1.45,0,27.3,3.4
4/14/2025 7:15,1.5,0,27.3,3.4
4/14/2025 7:15,1.55,0,27.3,3.4
4/14/2025 7:15,1.6,0,27.3,3.4
4/14/2025 7:15,1.65,0,27.3,3.4
4/14/2025 7:15,1.7,0,27.3,3.4
4/14/2025 7:15,1.75,0,27.2,3.4
4/14/2025 7:15,1.8,0,27.2,3.4
4/14/2025 7:15,1.85,0,27.3,3.4
4/14/2025 7:15,1.9,0,27.3,3.4
4/14/2025 7:15,1.95,0,27.3,3.4
4/14/2025 7:15,2,0,27.3,3.4
4/14/2025 7:15,2.05,0,27.3,3.4
4/14/2025 7:15,2.1,0,27.3,3.4
4/14/2025 7:15,2.15,0,27.3,3.4
4/14/2025 7:15,2.2,0,27.2,3.4
4/14/2025 7:15,2.25,0,27.3,3.4
4/14/2025 7:15,2.3,0,27.2,3.4
4/14/2025 7:15,2.35,0,27.3,3.4
4/14/2025 7:15,2.4,0,27.3,3.4
4/14/2025 7:15,2.45,0,27.2,3.4
4/14/2025 7:15,2.5,0,27.2,3.4
4/14/2025 7:15,2.55,0,27.2,3.4
4/14/2025 7:15,2.6,0,27.1,3.4
4/14/2025 7:15,2.65,0,27.2,3.4
4/14/2025 7:15,2.7,0,27.1,3.4
4/14/2025 7:15,2.75,0,27.1,3.4
4/14/2025 7:15,2.8,0,27.1,3.4
4/14/2025 7:15,2.85,0,27.1,3.4
4/14/2025 7:15,2.9,0,27.2,3.4
4/14/2025 7:15,2.95,0,27.2,3.4
