"Date and Time Run 1","Time (s) Run 1","Position (mm) Run 1","Light Intensity (%) Run 1","Log of Light Intensity Run 1","Date and Time Run 2","Time (s) Run 2","Position (mm) Run 2","Light Intensity (%) Run 2","Log of Light Intensity Run 2"
04/13/2025 06:59:00 pm,0.000,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.000,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.050,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.050,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.100,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.100,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.150,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.150,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.200,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.200,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.250,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.250,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.300,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.300,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.350,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.350,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.400,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.400,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.450,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.450,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.500,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.500,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.550,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.550,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.600,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.600,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.650,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.650,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.700,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.700,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.750,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.750,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.800,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.800,0.000000,0.5,1.7
04/13/2025 06:59:00 pm,0.850,0.000000,0.4,1.6,04/13/2025 07:14:43 pm,0.850,0.000000,0.5,1.7
