Date and Time Run 1,Time (s) Run 1,Position (mm) Run 1,Light Intensity (%) Run 1,Log of Light Intensity Run 1
4/13/2025 19:20,0,0,8.4,2.9
4/13/2025 19:20,0.05,0,8.4,2.9
4/13/2025 19:20,0.1,0,8.4,2.9
4/13/2025 19:20,0.15,0,8.4,2.9
4/13/2025 19:20,0.2,0,8.4,2.9
4/13/2025 19:20,0.25,0,8.4,2.9
4/13/2025 19:20,0.3,0,8.4,2.9
4/13/2025 19:20,0.35,0,8.4,2.9
4/13/2025 19:20,0.4,0,8.4,2.9
4/13/2025 19:20,0.45,0,8.4,2.9
4/13/2025 19:20,0.5,0,8.4,2.9
4/13/2025 19:20,0.55,0,8.5,2.9
4/13/2025 19:20,0.6,0,8.4,2.9
4/13/2025 19:20,0.65,0,8.5,2.9
4/13/2025 19:20,0.7,0,8.5,2.9
4/13/2025 19:20,0.75,0,8.4,2.9
4/13/2025 19:20,0.8,0,8.4,2.9
4/13/2025 19:20,0.85,0,8.4,2.9
4/13/2025 19:20,0.9,0,8.4,2.9
4/13/2025 19:20,0.95,0,8.4,2.9
4/13/2025 19:20,1,0,8.5,2.9
4/13/2025 19:20,1.05,0,8.4,2.9
4/13/2025 19:20,1.1,0,8.5,2.9
4/13/2025 19:20,1.15,0,8.4,2.9
4/13/2025 19:20,1.2,0,8.4,2.9
4/13/2025 19:20,1.25,0,8.4,2.9
4/13/2025 19:20,1.3,0,8.4,2.9
4/13/2025 19:20,1.35,0,8.4,2.9
4/13/2025 19:20,1.4,0,8.4,2.9
4/13/2025 19:20,1.45,0,8.4,2.9
4/13/2025 19:20,1.5,0,8.4,2.9
4/13/2025 19:20,1.55,0,8.4,2.9
4/13/2025 19:20,1.6,0,8.4,2.9
4/13/2025 19:20,1.65,0,8.4,2.9
4/13/2025 19:20,1.7,0,8.4,2.9
4/13/2025 19:20,1.75,0,8.4,2.9
4/13/2025 19:20,1.8,0,8.4,2.9
4/13/2025 19:20,1.85,0,8.4,2.9
4/13/2025 19:20,1.9,0,8.4,2.9
4/13/2025 19:20,1.95,0,8.4,2.9
4/13/2025 19:20,2,0,8.4,2.9
4/13/2025 19:20,2.05,0,8.4,2.9
4/13/2025 19:20,2.1,0,8.4,2.9
4/13/2025 19:20,2.15,0,8.4,2.9
4/13/2025 19:20,2.2,0,8.4,2.9
4/13/2025 19:20,2.25,0,8.4,2.9
4/13/2025 19:20,2.3,0,8.4,2.9
4/13/2025 19:20,2.35,0,8.4,2.9
4/13/2025 19:20,2.4,0,8.4,2.9
4/13/2025 19:20,2.45,0,8.4,2.9
4/13/2025 19:20,2.5,0,8.4,2.9
4/13/2025 19:20,2.55,0,8.4,2.9
4/13/2025 19:20,2.6,0,8.4,2.9
4/13/2025 19:20,2.65,0,8.4,2.9
4/13/2025 19:20,2.7,0,8.4,2.9
4/13/2025 19:20,2.75,0,8.4,2.9
4/13/2025 19:20,2.8,0,8.4,2.9
4/13/2025 19:20,2.85,0,8.4,2.9
4/13/2025 19:20,2.9,0,8.4,2.9
4/13/2025 19:20,2.95,0,8.4,2.9
4/13/2025 19:20,3,0,8.4,2.9
4/13/2025 19:20,3.05,0,8.4,2.9
4/13/2025 19:20,3.1,0,8.4,2.9
4/13/2025 19:20,3.15,0,8.4,2.9
4/13/2025 19:20,3.2,0,8.4,2.9
4/13/2025 19:20,3.25,0,8.4,2.9
4/13/2025 19:20,3.3,0,8.4,2.9
4/13/2025 19:20,3.35,0,8.4,2.9
4/13/2025 19:20,3.4,0,8.4,2.9
4/13/2025 19:20,3.45,0,8.4,2.9
4/13/2025 19:20,3.5,0,8.4,2.9
4/13/2025 19:20,3.55,0,8.4,2.9
4/13/2025 19:20,3.6,0,8.4,2.9
4/13/2025 19:20,3.65,0,8.4,2.9
4/13/2025 19:20,3.7,0,8.4,2.9
4/13/2025 19:20,3.75,0,8.4,2.9
4/13/2025 19:20,3.8,0,8.4,2.9
4/13/2025 19:20,3.85,0,8.4,2.9
4/13/2025 19:20,3.9,0,8.4,2.9
4/13/2025 19:20,3.95,0,8.4,2.9
4/13/2025 19:20,4,0,8.4,2.9
4/13/2025 19:20,4.05,0,8.4,2.9
4/13/2025 19:20,4.1,0,8.4,2.9
4/13/2025 19:20,4.15,0,8.4,2.9
4/13/2025 19:20,4.2,0,8.4,2.9
4/13/2025 19:20,4.25,0,8.4,2.9
4/13/2025 19:20,4.3,0,8.4,2.9
4/13/2025 19:20,4.35,0,8.4,2.9
4/13/2025 19:20,4.4,0,8.4,2.9
4/13/2025 19:20,4.45,0,8.4,2.9
4/13/2025 19:20,4.5,0,8.4,2.9
4/13/2025 19:20,4.55,0,8.4,2.9
4/13/2025 19:20,4.6,0,8.4,2.9
4/13/2025 19:20,4.65,0,8.4,2.9
4/13/2025 19:20,4.7,0,8.4,2.9
4/13/2025 19:20,4.75,0,8.4,2.9
4/13/2025 19:20,4.8,0,8.4,2.9
4/13/2025 19:20,4.85,0,8.4,2.9
4/13/2025 19:20,4.9,0,8.4,2.9
4/13/2025 19:20,4.95,0,8.4,2.9
4/13/2025 19:20,5,0,8.4,2.9
4/13/2025 19:20,5.05,0,8.4,2.9
4/13/2025 19:20,5.1,0,8.4,2.9
4/13/2025 19:20,5.15,0,8.4,2.9
4/13/2025 19:20,5.2,0,8.4,2.9
4/13/2025 19:20,5.25,0,8.4,2.9
4/13/2025 19:20,5.3,0,8.4,2.9
4/13/2025 19:20,5.35,0,8.4,2.9
4/13/2025 19:20,5.4,0,8.4,2.9
4/13/2025 19:20,5.45,0,8.4,2.9
4/13/2025 19:20,5.5,0,8.4,2.9
4/13/2025 19:20,5.55,0,8.4,2.9
4/13/2025 19:20,5.6,0,8.4,2.9
4/13/2025 19:20,5.65,0,8.4,2.9
4/13/2025 19:20,5.7,0,8.4,2.9
4/13/2025 19:20,5.75,0,8.4,2.9
4/13/2025 19:20,5.8,0,8.4,2.9
