"Date and Time Run 1","Time (s) Run 1","Position (mm) Run 1","Light Intensity (%) Run 1","Log of Light Intensity Run 1"
04/14/2025 06:59:11 am,0.000,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.050,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.100,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.150,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.200,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.250,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.300,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.350,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.400,0.000000,4.7,2.7
04/14/2025 06:59:11 am,0.450,0.000000,4.7,2.7
04/14/2025 06:59:11 am,0.500,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.550,0.000000,4.7,2.7
04/14/2025 06:59:11 am,0.600,0.000000,4.6,2.7
04/14/2025 06:59:11 am,0.650,0.000000,4.7,2.7
04/14/2025 06:59:11 am,0.700,0.000000,4.7,2.7
04/14/2025 06:59:11 am,0.750,0.000000,4.7,2.7
04/14/2025 06:59:11 am,0.800,0.000000,4.7,2.7
04/14/2025 06:59:11 am,0.850,0.000000,4.7,2.7
04/14/2025 06:59:11 am,0.900,0.000000,4.7,2.7
04/14/2025 06:59:11 am,0.950,0.000000,4.7,2.7
04/14/2025 06:59:12 am,1.000,0.000000,4.7,2.7
04/14/2025 06:59:12 am,1.050,0.000000,4.5,2.7
04/14/2025 06:59:12 am,1.100,0.000000,4.7,2.7
04/14/2025 06:59:12 am,1.150,0.000000,4.7,2.7
04/14/2025 06:59:12 am,1.200,0.000000,4.7,2.7
04/14/2025 06:59:12 am,1.250,0.000000,4.7,2.7
04/14/2025 06:59:12 am,1.300,0.000000,4.7,2.7
04/14/2025 06:59:12 am,1.350,0.000000,4.6,2.7
04/14/2025 06:59:12 am,1.400,0.000000,4.7,2.7
04/14/2025 06:59:12 am,1.450,0.000000,4.6,2.7
04/14/2025 06:59:12 am,1.500,0.000000,4.2,2.6
04/14/2025 06:59:12 am,1.550,0.000000,1.9,2.3
04/14/2025 06:59:12 am,1.600,0.000000,5.0,2.7
04/14/2025 06:59:12 am,1.650,0.000000,4.6,2.7
04/14/2025 06:59:12 am,1.700,0.000000,4.6,2.7
04/14/2025 06:59:12 am,1.750,0.000000,4.7,2.7
04/14/2025 06:59:12 am,1.800,0.000000,4.4,2.6
04/14/2025 06:59:12 am,1.850,0.000000,4.1,2.6
04/14/2025 06:59:12 am,1.900,0.000000,4.1,2.6
04/14/2025 06:59:12 am,1.950,0.000000,4.2,2.6
04/14/2025 06:59:13 am,2.000,0.000000,4.3,2.6
04/14/2025 06:59:13 am,2.050,0.000000,3.9,2.6
04/14/2025 06:59:13 am,2.100,0.000000,4.0,2.6
